timestamp,policy,migrations,utilization,p95_latency
1765471993.2231731,least_loaded,0,33.3,2.687
1765471993.3789117,least_loaded,0,33.3,2.687
1765471993.5321157,least_loaded,0,33.3,2.687
1765471993.6883821,least_loaded,0,33.3,2.687
1765471993.8431237,least_loaded,0,33.3,2.687
1765471993.9975429,least_loaded,0,33.3,2.687
1765471994.1529157,least_loaded,0,66.7,2.687
1765471994.3088064,least_loaded,0,50.0,2.687
1765471994.4632628,least_loaded,0,25.0,2.687
1765471994.6190698,least_loaded,0,25.0,2.687
1765471994.7745826,least_loaded,0,25.0,2.687
1765471994.9296393,least_loaded,0,25.0,2.687
1765471995.0848324,least_loaded,0,25.0,2.687
1765471995.2373788,least_loaded,0,25.0,2.687
1765471995.3905797,least_loaded,0,25.0,2.687
1765471995.5615828,least_loaded,0,25.0,2.687
1765471995.7165642,least_loaded,0,25.0,2.687
1765471995.871285,least_loaded,0,25.0,2.687
1765471996.0282393,least_loaded,0,25.0,2.687
1765471996.182776,least_loaded,0,25.0,2.687
1765471996.3396797,least_loaded,0,25.0,2.687
1765471996.4961843,least_loaded,0,25.0,2.687
1765471996.650875,least_loaded,0,25.0,2.687
1765471996.8063593,least_loaded,0,25.0,2.687
1765471996.9615827,least_loaded,0,25.0,2.687
1765471997.1171575,least_loaded,0,25.0,2.687
1765471997.2736099,least_loaded,0,25.0,2.687
1765471997.4298875,least_loaded,0,25.0,2.687
1765471997.5851166,least_loaded,0,0.0,2.687
1765471997.7412453,least_loaded,0,25.0,2.687
1765471997.8949802,least_loaded,0,25.0,2.687
1765471998.0503898,least_loaded,0,25.0,2.687
1765471998.2053478,least_loaded,0,25.0,2.687
1765471998.3609462,work_stealing,0,25.0,2.687
1765471998.5161242,work_stealing,0,25.0,2.687
1765471998.6723611,work_stealing,0,25.0,2.687
1765471998.8276415,work_stealing,0,25.0,2.687
1765471998.9818063,work_stealing,0,25.0,2.687
1765471999.1359158,work_stealing,0,25.0,2.687
1765471999.288791,work_stealing,0,25.0,2.687
1765471999.4444242,work_stealing,0,25.0,2.687
1765471999.5990279,work_stealing,0,25.0,2.687
1765471999.7555149,work_stealing,0,25.0,2.687
1765471999.9112039,work_stealing,0,25.0,2.687
1765472000.0676813,work_stealing,0,25.0,2.687
1765472000.2220428,work_stealing,0,25.0,2.687
1765472000.37675,work_stealing,0,25.0,2.687
1765472000.5306966,round_robin,0,25.0,2.687
1765472000.6868172,round_robin,0,25.0,2.687
1765472000.8414626,round_robin,0,25.0,2.687
1765472000.994495,round_robin,0,25.0,2.687
1765472001.1486685,round_robin,0,25.0,2.687
1765472001.3029528,round_robin,0,25.0,2.687
1765472001.4599931,round_robin,0,25.0,2.687
1765472001.614043,round_robin,0,0.0,2.687
1765472001.769543,round_robin,0,25.0,2.687
1765472001.9261398,round_robin,0,25.0,2.687
1765472002.0799859,round_robin,0,25.0,2.687
1765472002.2358768,round_robin,0,25.0,2.687
1765472002.3907545,round_robin,0,50.0,2.687
1765472002.543178,round_robin,0,50.0,2.687
1765472002.6976323,round_robin,0,25.0,2.658
1765472002.8544216,round_robin,0,50.0,2.658
1765472003.0094633,round_robin,0,50.0,2.658
1765472003.1660004,work_stealing,0,0.0,2.658
1765472003.3214629,work_stealing,0,0.0,2.658
1765472003.475726,work_stealing,0,25.0,2.658
1765472003.6305826,work_stealing,0,25.0,2.658
1765472003.785974,work_stealing,0,25.0,2.658
1765472003.9418018,work_stealing,0,25.0,2.658
1765472004.0949287,round_robin,0,25.0,2.658
1765472004.2481608,round_robin,0,25.0,2.658
1765472004.4019206,round_robin,0,25.0,2.658
1765472004.556847,round_robin,0,25.0,2.658
1765472004.715166,round_robin,0,25.0,2.658
1765472004.8703244,round_robin,0,50.0,2.658
1765472005.027049,round_robin,0,50.0,2.658
1765472005.1929295,round_robin,0,50.0,2.658
1765472005.3477263,round_robin,0,25.0,2.658
1765472005.5025787,round_robin,0,25.0,2.658
1765472005.6586645,round_robin,0,25.0,2.658
1765472005.8120492,round_robin,0,50.0,2.658
1765472005.9644325,round_robin,0,100.0,2.658
1765472006.1190073,round_robin,0,100.0,2.658
1765472006.271658,round_robin,0,100.0,2.658
1765472006.4270732,round_robin,0,100.0,2.658
1765472006.5818698,round_robin,0,100.0,2.658
1765472006.736563,round_robin,0,100.0,2.658
